Field ,Area,Identification number,Days,Na,K,Mg,Ca,Sr,Ba,Cl,SO4
Dan ,Central,27,3973,23946.31,524,478,2312,238,1,42938,247
Dan ,Central,33,3980,20447.81,89,245,1074,182,1,34173.00000001,316
Dan ,Central,127,3981,24242.8,238,506,1781,248,1,41950,700
Dan ,Central,65,3981,25121.41,397,430,3106,260,1,45640,625
Dan ,Central,82,3981,25679.66000001,503,428,1711,238,1,44069.00000001,673
Dan ,Central,63,3982,25966.19,539,419,1577,277,1,44318,665
Dan ,Central,63,3997,25504.47000001,735,417,1516,238,1,43659,637
Dan ,Central,127,4000,23987.54,227,568,1184,218,1,40668,670
Dan ,Central,33,4001,20806.41,123,258,955,186,1,34622,270
Dan ,Central,63,4001,24467.35000001,528,480,2225,266,1,43326,645
Dan ,Central,65,4001,25882.43000001,208,510,6189,304,1,52435,538
Dan ,Central,82,4002,25803.74,367,433,1581,246,1,43955,636
Dan ,Central,127,4009,23682.19,198,473,1925,228,1,41235,640
Dan ,Central,63,4010,25719.09000001,505,407,1695,250,1,44085.00000001,628
Dan ,Central,82,4011,25840.49,374,395,1679,234,1,44079,625
Dan ,Central,65,4060,23517.47,221,474,6291,235,1,48856,484
Dan ,Central,82,4061,26242.51,229,360,1409,227,1,43983,623
Dan ,Central,127,4062,23285.96000001,211,495,2785,196,1,42200,635
Dan ,Central,63,4068,26712.10000001,269,477,1361,459,1,45144,684
Dan ,Central,65,4072,24673.69000001,448,448,5356,298,1,49155,500
Dan ,Central,127,4073,23786.78,189,532,2254,311,1,42240,600
Dan ,Central,82,4073,25841.48000001,249,418,1988,238,1,44605.00000001,597
Dan ,Central,63,4075,25804.89000001,849,417,1468,243,1,44130.00000001,658
Dan ,Central,63,4082,24900.28,461,443,1846,232,1,43145.00000001,620
Dan ,Central,127,4089,23113.39,202,479,4937,280,1,45797.00000001,581
Dan ,Central,63,4090,26141.2,810,415,1465,234,1,44587,669
Dan ,Central,127,4100,24440.07,281,446,1805,202,1,42196,602
Dan ,Central,65,4100,25130.12000001,241,471,5806,330,1,50541.00000001,527
Dan ,Central,63,4105,34385.68,884,685,2396,366,1,59733.00000001,927
Dan ,Central,63,4110,24924.38,617,510,1765,280,1,43377.00000001,672
Dan ,Central,127,4117,19222.7,365,735,1806,144,1,34893.00000001,772
Dan ,Central,63,4117,20794.14,438,524,1585,165,1,36423,733
Dan ,Central,65,4118,22715.74,206,460,6489,373,1,48002.00000001,517
Dan ,Central,82,4119,23200.96,299,380,1610,202,1,39761.00000001,603
Dan ,Central,127,4131,23826.60000001,191,429,1502,275,1,40655,582
Dan ,Central,63,4132,27563.96,621,451,1481,283,1,46904,507
Dan ,Central,82,4132,27716.05000001,305,417,1571,235,1,46887,487
Dan ,Central,65,4133,23790.77000001,196,421,5675,339,1,48082.00000001,500
Dan ,Central,63,4139,25215.61000001,495,424,1510,313,1,43069.00000001,632
Dan ,Central,63,4146,25367.69,475,480,1671,310,1,43734,629
Dan ,Central,127,4147,24298.96,232,480,1795,321,1,42125.00000001,584
Dan ,Central,65,4147,25515.39000001,135,441,4948,375,1,49474.00000001,520
Dan ,Central,82,4148,26128.42000001,268,406,1657,322,1,44504,608
Dan ,Central,127,4193,22813.32000001,440,446,1859,284,1,40006,583
Dan ,Central,127,4195,24565.25,344,399,1563,217,1,41887,610
Dan ,Central,63,4195,25114.53,412,380,1712,224,1,42987,642
Dan ,Central,82,4195,25263.82000001,251,358,1561,219,1,42767,599
Dan ,Central,65,4196,23103.66,180,495,3837,232,1,43763,661
Dan ,Central,127,4262,27201.46,157,385,1479,218,1,45625.00000001,572
Dan ,Central,82,4262,28586.55000001,222,345,1388,250,1,47550,599
Dan ,Central,65,4263,27611.72000001,162,422,4464,259,1,51727.00000001,521
Dan ,Central,63,4263,27631.48,343,395,1489,234,1,46424,699
Dan ,Central,63,4351,25362.11,328,373,1359,297,1,42858,437
Dan ,Central,127,4351,25424.10000001,264,418,1590,381,1,43467,487
Dan ,Central,65,4352,24332.49,161,416,4559,304,1,46962.00000001,372
Dan ,Central,82,4359,24764.66,161,432,1996,366,1,43140,437
Dan ,Central,63,4359,25269.88,268,404,1152,246,1,42255,557
Dan ,Central,127,4359,25284.85000001,210,431,1289,255,1,42577.00000001,526
Dan ,Central,65,4376,27147.29000001,133,469,2509,353,1,47721,541
Dan ,Central,63,4384,24334.67,296,422,1533,305,1,41578,603
Dan ,Central,42,4387,21395.19000001,280,268,1193,217,1,35912,591
Dan ,Central,42,4397,22021.55,284,272,1173,203,1,36854,582
Dan ,Central,63,4397,22515.99,407,375,1468,225,1,38551,608
Dan ,Central,49,4399,18533.77,1020,374,1575,153,1,33033.00000001,686
Dan ,Central,64,4399,21038.01,130,428,1489,209,1,36406,325
Dan ,Central,65,4399,25405.17000001,157,484,3363,278,1,46623,441
Dan ,Central,42,4403,22357.68,206,329,1211,199,1,37525.00000001,592
Dan ,Central,127,4410,24039.44,160,485,1920,239,1,41872,525
Dan ,Central,63,4410,24353.87,308,442,1559,230,1,41626,652
Dan ,Central,49,4421,17932.73,527,311,2063,175,1,32432,581
Dan ,Central,127,4444,24894.83,152,422,1756,243,1,42770,449
Dan ,Central,63,4445,25404.41000001,290,414,1539,227,1,43090,681
Dan ,Central,49,4465,20494.08,518,287,1301,152,1,34940,580
Dan ,Central,42,4466,21479.05,222,258,1701,187,1,36839,585
Dan ,Central,127,4467,24272.14000001,198,430,2640,253,1,43389.00000001,528
Dan ,Central,63,4468,24417.62,256,419,2151,262,1,42664,679
Dan ,Central,65,4470,23057.72,209,453,7006,327,1,49388,520
Dan ,Central,82,4471,24341.82,195,389,1748,239,1,41753.00000001,569
Dan ,Central,42,4478,21851.33,176,248,1069,184,1,36227,577
Dan ,Central,49,4483,20515.04,400,268,1186,162,1,34625.00000001,565
Dan ,Central,65,4486,23416.43,203,461,7336,325,1,50560,496
Dan ,Central,42,4487,21945.16,217,249,1083,186,1,36437.00000001,579
Dan ,Central,49,4499,19988.48,450,287,1387,165,1,34262,578
Dan ,Central,65,4500,23896.38,375,425,1591,226,1,40975,665
Dan ,Central,63,4500,24424.04000001,338,435,1513,226,1,41655,654
Dan ,Central,127,4505,24485.17000001,244,450,2074,251,1,42821.00000001,519
Dan ,Central,42,4511,21555.42,183,273,1194,187,1,36069.00000001,583
Dan ,Central,49,4522,20066.28,258,295,1338,180,1,34162,570
Dan ,Central,42,4523,21750.3,183,275,1208,187,1,36396,589
Dan ,Central,53,4526,11006.58000001,504,1376,347,5,1,19976,2853
Dan ,Central,65,4526,24787.08,187,462,3035,305,1,45031,498
Dan ,Central,42,4532,21148.75,237,266,1314,183,1,35697.00000001,559
Dan ,Central,63,4536,24072.91,269,438,1535,241,1,41082,692
Dan ,Central,127,4546,23582.78000001,227,422,1681,298,1,40685.00000001,503
Dan ,Central,65,4553,25229.98,201,433,4518,432,1,48358,516
Dan ,Central,42,4554,21324.39000001,267,260,1463,233,1,36280,562
Dan ,Central,127,4557,24337.21000001,220,444,2351,344,1,43125.00000001,511
Dan ,Central,82,4557,25276.12,237,379,1936,314,1,43597.00000001,570
Dan ,Central,63,4558,24088.43,303,445,1506,302,1,41134,721
Dan ,Central,65,4559,25742.33,207,431,4398,437,1,48940,516
Dan ,Central,63,4567,23917.02,281,444,1383,257,1,40573.00000001,747
Dan ,Central,127,4567,24295.14000001,178,410,1638,284,1,41607,517
Dan ,Central,65,4567,25762.60000001,201,451,4502,347,1,49114.00000001,545
Dan ,Central,68,4571,21556.84,228,260,1143,206,1,35966,628
Dan ,Central,42,4585,21619.02,235,259,1153,213,1,36074,648
Dan ,Central,42,4588,21497.16,223,258,1168,209,1,35905.00000001,635
Dan ,Central,63,4594,23058.73000001,222,448,1381,218,1,39123,812
Dan ,Central,127,4598,23395.17,203,481,2048,256,1,41124,554
Dan ,Central,82,4604,24857.61,191,369,1593,224,1,41983,863
Dan ,Central,63,4605,22716.09,250,445,1469,213,1,38506,1159
Dan ,Central,49,4613,20110.36,257,275,1325,194,1,34125.00000001,616
Dan ,Central,63,4614,22726.98000001,224,394,1265,252,1,38644,316
Dan ,Central,127,4614,24333.59000001,151,398,1617,280,1,41800,201
Dan ,Central,42,4620,20477.52,192,238,1080,200,1,34415,184
Dan ,Central,127,4621,23967.07000001,161,419,1758,283,1,41278,578
Dan ,Central,65,4636,21507.01000001,490,427,1404,193,1,36985.00000001,739
Dan ,Central,63,4641,21805.92,266,477,1584,240,1,37735,753
Dan ,Central,127,4641,22340.30000001,147,396,1687,288,1,38638,480
Dan ,Central,65,4642,23879.24,259,393,1799,264,1,41221.00000001,567
Dan ,Central,82,4642,24934.88,271,394,1802,257,1,42906,510
Dan ,Central,82,4659,24419.88000001,246,407,1905,256,1,42265.00000001,568
Dan ,Central,65,4664,23898.85,158,431,3823,280,1,44901.00000001,521
Dan ,Central,63,4666,21650.34000001,209,525,1555,213,1,37439,849
Dan ,Central,127,4666,23410.85000001,167,477,2072,279,1,41210,493
Dan ,Central,49,4674,20054.54,237,291,1440,223,1,34242,687
Dan ,Central,42,4679,21677.77,216,272,1329,182,1,36409.00000001,733
Dan ,Central,63,4679,22350.49,212,770,1877,53,1,39567,1000
